clean_name,last_win_rating,ST_win_rate,HV_win_rate,ST_vs_HV_pref,AWT_win_rate,Turf_win_rate,AWT_vs_Turf_pref,last_form_going,recent_avg_pos,recent_win_rate,last_run_date,last_race_class_int,last_horse_rating,last_gear,distance_win_rate,prev_run_vet_finding,horse_code,avg_first_pos,gear_win_rate,has_overseas_form,winning_gears,gallops_30d,trots_30d,swims_30d,last_workout_date,last_workout_type,last_workout_detail,is_in_conghua,latest_body_weight
BUNTA BABY,62.0,0.0,0.3,Happy Valley,0.0,0.25,TURF,GOOD,3.25,0.25,2026-07-08,4.0,71.0,V/TT,0.375,1.0,J465,6.916666666666667,0.3,1.0,['V/TT'],6.0,31.0,23.0,14/09/2026,Trotting,SmT 1 Round - Rev Fast (R.B.),0.0,
BUSTLING CITY,,,,,,,,,,,,,,,,0.0,L210,,,1.0,,5.0,22.0,28.0,25/09/2026,Trotting,SmT 2 Round - Fast (R.B.),0.0,
CALIFORNIA BAY,46.0,0.1,0.0,Sha Tin,0.5,0.0,AWT,GOOD,6.25,0.25,2026-06-27,4.0,52.0,V/TT,0.2,0.0,K364,5.583333333333333,0.1428571428571428,1.0,['V/TT'],7.0,30.0,30.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
CALIFORNIA MOXIE,58.0,0.0,0.1666666666666666,Happy Valley,0.0,0.1666666666666666,TURF,GOOD,7.5,0.0,2026-09-09,4.0,57.0,B/TT,0.1666666666666666,0.0,J131,10.0,0.1666666666666666,1.0,['B/TT'],,,,,,,,
CALIFORNIA WAVES,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,6.25,0.0,2026-06-21,4.0,58.0,V/XB/TT,0.0,0.0,K477,8.083333333333334,0.0,1.0,[],6.0,29.0,0.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CALIFORNIATOTALITY,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO FIRM,7.5,0.0,2026-07-12,4.0,90.0,B/TT,0.0,0.0,H418,3.636363636363636,0.0,1.0,[],7.0,30.0,30.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
CALL ME TOPSEED,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,7.25,0.0,2026-07-15,4.0,67.0,B/TT,0.0,0.0,K357,4.833333333333333,0.0,1.0,[],6.0,31.0,17.0,14/09/2026,Trotting,SmT 1 Round - Rev Fast (R.B.),0.0,
CAN'T GO WONG,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO FIRM,5.25,0.0,2026-06-03,4.0,44.0,B/TT,0.0,0.0,H087,7.416666666666667,0.0,1.0,[],0.0,0.0,0.0,,,,0.0,
CANDLELIGHT DINNER,71.0,0.0,0.1818181818181818,Happy Valley,0.0,0.1666666666666666,TURF,GOOD,3.25,0.0,2026-07-08,4.0,77.0,H,0.2222222222222222,1.0,J468,2.333333333333333,0.1666666666666666,1.0,['H'],5.0,18.0,27.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
CASA OF HONOR,61.0,0.0,0.1666666666666666,Happy Valley,0.0,0.0833333333333333,TURF,GOOD TO FIRM,8.25,0.25,2026-07-08,4.0,67.0,XB,0.0909090909090909,1.0,K310,6.5,0.0,1.0,['H-/SR-/XB'],7.0,28.0,12.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
